date,book_id,cusip,issuer,sector,actual_pnl,explained_pnl,carry_pnl,spread_pnl,roll_pnl,basis_pnl,event_pnl,residual_pnl
2025-10-01,HY-CREDIT-01,12345A100,CloudSoft Inc,Software,9510.386668804264,9175.099206349207,5456.349206349207,-0.0,3718.7499999999995,-0.0,-0.0,335.2874624550565
2025-10-02,HY-CREDIT-01,12345A100,CloudSoft Inc,Software,-6582.430573818092,-7059.574380638019,5456.349206349207,-20991.32534779862,3718.7499999999995,4756.651760811396,-0.0,477.14380681992657
2025-10-03,HY-CREDIT-01,12345A100,CloudSoft Inc,Software,-58655.86883574699,-57690.5944097792,5456.349206349207,-70093.72404039688,3718.7499999999995,3228.0304242684624,-0.0,-965.2744259677862
2025-10-06,HY-CREDIT-01,12345A100,CloudSoft Inc,Software,-79256.18372101804,-84350.0717246332,5456.349206349207,-99026.88140315768,3718.7499999999995,5501.710472175268,-0.0,5093.888003615165
2025-10-07,HY-CREDIT-01,12345A100,CloudSoft Inc,Software,31306.77041808412,35079.46531905853,5456.349206349207,25103.75420871597,3718.7499999999995,800.6119039933561,-0.0,-3772.694900974408
2025-10-08,HY-CREDIT-01,12345A100,CloudSoft Inc,Software,45369.10554219482,44792.718014223836,5456.349206349207,37438.590424832655,3718.7499999999995,-1820.971616958026,-0.0,576.3875279709852
2025-10-09,HY-CREDIT-01,12345A100,CloudSoft Inc,Software,-94224.03388982685,-99210.61004790963,5456.349206349207,-104480.07333462876,3718.7499999999995,-3905.635919630076,-0.0,4986.57615808278
2025-10-10,HY-CREDIT-01,12345A100,CloudSoft Inc,Software,-102195.03772667101,-92857.40836052512,5456.349206349207,-101920.69330638429,3718.7499999999995,-111.81426049002785,-0.0,-9337.62936614589
2025-10-13,HY-CREDIT-01,12345A100,CloudSoft Inc,Software,27544.681969725105,25878.6084444424,5456.349206349207,20944.519281016943,3718.7499999999995,-4241.0100429237455,-0.0,1666.0735252827023
2025-10-14,HY-CREDIT-01,12345A100,CloudSoft Inc,Software,-534.2685474829484,-882.4136050364145,5456.349206349207,-13808.407309768923,3718.7499999999995,3750.894498383302,-0.0,348.14505755346613
